Type,Title,Authors/Maintainers,Date/Version,Abstract/Description,URL,Relevance Rating (1-5),Category,Key Insight,Integration Feasibility
Paper,"Evolving Programmatic Skill Networks","Haochen Shi, Xingdi Yuan, Bang Liu",Jan 2026,"Framework for continual skill acquisition using symbolic programs and LLMs. Skills form compositional networks that evolve through experience. Features REFLECT for fault analysis and maturity-aware update gating.",https://arxiv.org/abs/2601.03509,3,specialisation,"Maturity-aware skill update gating — skills are refined through experience, similar to how our agent procedures should mature",Hard
Paper,"CogEvo-Edu: Cognitive Evolution Educational Multi-Agent Collaborative System","Yefeng Wu, Yuchen Song, Yecheng Zhao, Ling Wu, Shan Wan",Nov 2025,"Hierarchical multi-agent system with Cognitive Perception, Knowledge Evolution, and Meta-Control layers. Uses confidence-weighted consolidation and spatiotemporal value for knowledge management.",https://arxiv.org/abs/2512.00331,3,consolidation,"Confidence-weighted consolidation with spatiotemporal value scoring — applicable to ranking our learnings by confidence and recency",Medium
Paper,"SAMEP: Secure Protocol for Persistent Context Sharing Across AI Agents","Hari Masoor",Jul 2025,"Distributed memory repository with vector-based semantic search for persistent context sharing across AI agents. Focuses on security of shared memory.",https://arxiv.org/abs/2507.10562,3,multi-agent,"Security considerations for shared agent memory — relevant as our agents run in GitHub Actions with AWS credentials",Medium
Paper,"RCR-Router: Efficient Role-Aware Context Routing for Multi-Agent LLM Systems","Jun Liu et al.",Aug 2025,"Dynamic selection of semantically relevant memory subsets based on agent role. Efficient context routing for multi-agent systems.",https://arxiv.org/abs/2508.04903,4,specialisation,"Role-aware memory routing directly addresses our specialisation requirement — DevOps agent gets DevOps-relevant memories",Medium
OSS,"Letta (MemGPT)","Charles Packer et al.",v0.16.4 (Jan 2026),"Platform for building stateful agents with self-editing memory. Tiered memory: core (in-context), archival (long-term vector store), recall (conversation history). PostgreSQL backend with pgvector. Supports memory blocks with configurable labels. TypeScript SDK available: @letta-ai/letta-client.",https://github.com/cpacker/MemGPT,4,framework,"Self-editing memory and tiered architecture (core/archival/recall) is the most mature agent memory framework. TypeScript SDK available but requires running Letta server.",Medium
OSS,"Mem0","Mem0 AI",v1.0.4 (Feb 2026),"Universal memory layer for AI agents. Multi-level memory (User, Session, Agent state). Graph-based memory with vector search. 26% accuracy improvement over OpenAI Memory, 91% faster responses, 90% lower token usage. Both Python and TypeScript SDKs (mem0ai npm package). Apache 2.0 license.",https://github.com/mem0ai/mem0,5,framework,"Most production-ready memory-as-a-service with TypeScript SDK. Graph + vector hybrid retrieval. Direct npm install makes integration easiest for our TypeScript agent.",Easy
OSS,"Zep","Getzep",v2.x (2025),"End-to-end context engineering platform. Temporal knowledge graph for context evolution. Sub-200ms retrieval latency. Extracts relationships and facts automatically. Python, TypeScript (@getzep/zep-cloud), and Go SDKs. Community Edition deprecated; focus on Zep Cloud (commercial).",https://github.com/getzep/zep,3,framework,"Temporal knowledge graph is powerful for tracking how learnings evolve over time. However CE deprecated means cloud-only which adds vendor dependency.",Medium
OSS,"CrewAI","CrewAI Inc",v0.x (2025),"Multi-agent framework with unified memory system. Hierarchical scope tree, composite scoring (semantic similarity + recency + importance). Supports shallow (vector) and deep (LLM-based) recall. Background processing for non-blocking saves. Python only, no TypeScript SDK.",https://github.com/crewAIInc/crewAI,3,framework,"Unified memory with composite scoring (similarity + recency + importance) and hierarchical scopes is an excellent architectural pattern to adopt.",Hard
OSS,"Microsoft AutoGen","Microsoft",v0.5+ (2025),"Multi-agent AI framework with layered API (Core, AgentChat, Extensions). Supports agent memory through teachability pattern. Cross-language support (.NET and Python). 54.6k stars. No native TypeScript SDK but .NET interop possible.",https://github.com/microsoft/autogen,2,framework,"Teachability agent pattern (agents that learn from corrections) is relevant but Python-only and heavy framework dependency.",Hard
OSS,"Microsoft Semantic Kernel","Microsoft",v1.x (2025),"SDK for building AI agents with memory abstractions. Supports vector DB connectors (Azure AI Search, Chroma, Pinecone, etc.). Python, .NET, and Java SDKs. 27.3k stars. No native TypeScript SDK.",https://github.com/microsoft/semantic-kernel,2,framework,"Memory abstraction layer with multiple vector DB connectors provides good patterns for our storage abstraction, but no TypeScript support.",Hard
OSS,"LangChain/LangGraph Memory","LangChain",v0.3+ (2025),"Comprehensive memory modules: ConversationBufferMemory, ConversationSummaryMemory, EntityMemory, VectorStoreMemory. LangGraph adds checkpointing and state persistence. Both Python and TypeScript SDKs available (langchain npm package). Highly extensible.",https://github.com/langchain-ai/langchain,3,framework,"Mature memory abstractions with TypeScript support. However, heavy framework dependency and we don't use LangChain elsewhere. Better to adopt patterns than the library itself.",Medium
Commercial,"AWS Bedrock Agent Memory","AWS",2025,"Built-in agent memory for Amazon Bedrock. Session memory that retains conversational context across interactions (1-365 day retention). Automatic session summarization. Memory identified by memoryId. Native AWS integration with pay-per-use pricing.",https://docs.aws.amazon.com/bedrock/latest/userguide/agents-memory.html,4,commercial-service,"Native AWS memory with session summarization. Simplest integration for our AWS-native stack but limited to Bedrock Agent framework — not directly usable with Claude Code SDK.",Medium
Commercial,"AWS Bedrock Knowledge Bases","AWS",2025,"Vector store-backed knowledge retrieval for Bedrock agents. Supports OpenSearch Serverless, Aurora PostgreSQL, Pinecone, Redis as vector stores. Automatic chunking, embedding, and indexing of documents. Native RAG pipeline.",https://docs.aws.amazon.com/bedrock/latest/userguide/knowledge-base.html,3,commercial-service,"Could be used to store consolidated learnings as documents that agents retrieve via RAG. AWS-native but adds infrastructure complexity.",Medium
Commercial,"Amazon Titan Embeddings","AWS",2025,"Foundation model for generating text embeddings via Bedrock API. Supports 1024-dimension vectors. Pay-per-token pricing. Available in us-east-1. Can be called directly from TypeScript via AWS SDK.",https://docs.aws.amazon.com/bedrock/latest/userguide/titan-embedding-models.html,5,commercial-service,"Direct embedding generation from our TypeScript agent via AWS SDK. No additional infrastructure needed. Essential for vector-based memory retrieval.",Easy
Commercial,"Amazon DynamoDB","AWS",2025,"Fully managed NoSQL database. Single-digit millisecond latency. Supports TTL for automatic expiry. GSIs for flexible queries. Pay-per-request pricing. Native TypeScript SDK (@aws-sdk/client-dynamodb). Already used in our infrastructure.",https://aws.amazon.com/dynamodb/,5,commercial-service,"Already in our stack, supports TTL for memory expiry, GSIs for domain-based queries. Ideal primary store for structured memory records.",Easy
Commercial,"Amazon S3","AWS",2025,"Object storage for any volume. Already used in our infrastructure. Can store raw learning files, embeddings, and archived memories. Versioning for memory evolution tracking.",https://aws.amazon.com/s3/,4,commercial-service,"Already in our stack. Ideal for archival memory storage and raw learning file backup. Combine with DynamoDB for hot/cold memory tiers.",Easy
Commercial,"Pinecone","Pinecone",2025,"Purpose-built vector database as a service. Serverless option with pay-per-query pricing. Sub-100ms latency. Supports metadata filtering alongside vector search. REST API and Node.js SDK available.",https://www.pinecone.io/,3,commercial-service,"Powerful vector search but adds external dependency. For our scale (<1K records initially), DynamoDB + application-side similarity may suffice.",Medium
Commercial,"Zep Cloud","Getzep",2025,"Commercial temporal knowledge graph platform. Automatic fact extraction and relationship tracking. Sub-200ms retrieval. TypeScript SDK available. Usage-based pricing.",https://www.getzep.com/,3,commercial-service,"Powerful temporal knowledge graph but adds vendor dependency. Better for high-volume chat applications than our episodic agent memory use case.",Medium
Commercial,"Mem0 Platform","Mem0 AI",2025,"Managed memory platform. SOC 2 and GDPR compliant. Multi-level memory with automatic analysis. TypeScript SDK via npm. Free tier available.",https://app.mem0.ai,4,commercial-service,"Managed memory with TypeScript SDK. Could accelerate Phase 1 implementation. Risk: vendor dependency for core agent capability.",Easy
Commercial,"Chroma","Chroma",2025,"Open-source embedding database. Supports local and cloud deployment. Python and JavaScript/TypeScript clients. Simple API for add/query operations. Apache 2.0 license.",https://www.trychroma.com/,3,commercial-service,"Simple embedding DB that could run locally or in cloud. Good for prototyping but DynamoDB with Titan Embeddings is more AWS-native for production.",Medium
